ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 107706395
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 100595146
ax: 0.19878662   ay: 0.49681687    az: 9.81943 time: 100930872
ax: 0.19878662   ay: 0.49681687    az: 9.819131 time: 107858995
ax: 0.1992357   ay: 0.4963678    az: 9.818981 time: 100076301
ax: 0.18800904   ay: 0.49666718    az: 9.819281 time: 100106822
ax: 0.19878662   ay: 0.49681687    az: 9.812695 time: 119548299
ax: 0.19893631   ay: 0.49666718    az: 9.8077545 time: 122173051
ax: 0.19863693   ay: 0.49681687    az: 9.81943 time: 117808635
ax: 0.18785934   ay: 0.49666718    az: 9.819281 time: 119884023
ax: 0.19878662   ay: 0.49008086    az: 9.819281 time: 120189227
ax: 0.199086   ay: 0.49561936    az: 9.819131 time: 100106822
ax: 0.19893631   ay: 0.4725673    az: 9.808353 time: 101144513
ax: 0.19878662   ay: 0.49666718    az: 9.81943 time: 118754769
ax: 0.19893631   ay: 0.49427214    az: 9.819281 time: 121287959
ax: 0.19699036   ay: 0.49681687    az: 9.81943 time: 118327483
ax: 0.19489472   ay: 0.49561936    az: 9.819131 time: 100198383
