Time,Rot1,Rot2,Rot3,Rot4,Rot5,Rot6,Rot7,Rot8,Rot9,FRot1,FRot2,FRot3,FRot4,FRot5,FRot6,FRot7,FRot8,FRot9,AccX,AccY,AccZ,GravX,GravY,GravZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Imid
0.417572021,0.6671586,0.7449144,-0.0014276628,-0.7449032,0.66713494,-0.007095877,-0.0043333774,0.005797545,0.99997383,0.74924,0.6622982,-7.372559E-4,-0.66228837,0.7492216,-0.006405724,-0.003690132,0.0052877003,0.9999792,-0.14364624,0.10055542,9.892838,-0.042495728,0.056854248,9.806351,-0.004257202,0.004257202,0.004257202,-22.314453,19.950867,-17.9245,0
0.421936035,0.6671441,0.74492735,-0.001395275,-0.74491596,0.66712064,-0.007085521,-0.004347381,0.005766426,0.9999739,0.7477066,0.6640289,-7.3978095E-4,-0.66401875,0.747688,-0.006471494,-0.0037441333,0.005330007,0.9999788,-0.10055542,-0.04309082,10.0316925,-0.042633057,0.056549072,9.806351,0.007446289,0.0095825195,0.004257202,-22.314453,19.950867,-17.9245,0
0.426300049,0.66713494,0.74493563,-0.0013745503,-0.7449241,0.6671115,-0.007087752,-0.004362941,0.0057524224,0.9999739,0.74620587,0.6657148,-7.8340643E-4,-0.6657048,0.7461869,-0.0064926213,-0.0037376664,0.005366349,0.9999786,-0.0622406,0.028717041,9.806641,-0.042785645,0.056411743,9.806351,0.0063934326,-0.004272461,0.0063934326,-22.314453,19.950867,-17.9245,0
0.43069458,0.6649615,0.7468764,-0.0013719545,-0.746865,0.66493833,-0.0070630256,-0.0043629417,0.005721304,0.99997413,0.7447128,0.66738445,-8.1128976E-4,-0.6673748,0.7446943,-0.006422142,-0.0036818753,0.0053240866,0.999979,-0.05744934,-0.028717041,9.830582,-0.042785645,0.056106567,9.806351,-0.011703491,-0.015991211,0.0,-21.238708,18.875122,-18.615723,0
0.435058594,0.6649552,0.74688196,-0.0013591172,-0.74687064,0.6649323,-0.0070307013,-0.0043473835,0.0056901863,0.9999744,0.743201,0.6690677,-7.9750316E-4,-0.6690581,0.7431827,-0.0063886624,-0.003681757,0.0052816365,0.99997926,0.004776001,-0.02394104,10.127472,-0.042633057,0.05580139,9.806351,-0.011703491,-0.0032043457,-0.0021362305,-21.238708,18.875122,-18.615723,0
0.439422607,0.6649552,0.74688196,-0.0013591172,-0.74687064,0.6649323,-0.0070307013,-0.0043473835,0.0056901863,0.9999744,0.74175835,0.6706667,-8.210733E-4,-0.6706571,0.74174,-0.0063831937,-0.0036719725,0.005285446,0.9999793,-0.02394104,0.05265808,10.00296,-0.042633057,0.05580139,9.806351,-0.0010681152,-0.005340576,0.012771606,-21.238708,18.875122,-18.615723,0
0.443817139,0.6464691,0.7629386,-0.0015308525,-0.76292783,0.64644593,-0.0069953166,-0.0043473835,0.0056901863,0.9999744,0.7403259,0.6722476,-8.393007E-4,-0.67223823,0.7403077,-0.0063453745,-0.003644322,0.005261855,0.99997956,-0.08139038,0.06703186,9.988602,-0.042633057,0.05580139,9.806351,-0.007446289,-0.009597778,0.007446289,-24.645996,20.846558,-18.443298,0
0.448181152,0.6464604,0.762946,-0.0015108145,-0.7629349,0.6464371,-0.00701904,-0.004378502,0.0056901854,0.9999742,0.7385365,0.674213,-8.2070543E-4,-0.6742036,0.7385185,-0.0063186754,-0.003654027,0.005219895,0.9999797,-0.08618164,0.07661438,10.022125,-0.042938232,0.05580139,9.806351,-0.011703491,-0.0010681152,-0.010650635,-24.645996,20.846558,-18.443298,0
0.452545166,0.6464715,0.7629366,-0.0015362675,-0.7629255,0.6464479,-0.007061108,-0.0043940605,0.005736863,0.9999739,0.7368301,0.6760774,-8.409831E-4,-0.67606795,0.7368118,-0.0063626086,-0.0036819698,0.0052567236,0.9999794,-0.08139038,0.15800476,9.916779,-0.04309082,0.056259155,9.806351,0.0063934326,0.003189087,0.007446289,-24.645996,20.846558,-18.443298,0
0.45690918,0.66846305,0.7437442,-0.0013167821,-0.74373245,0.66844,-0.007070564,-0.0043785013,0.0057057445,0.99997413,0.7351381,0.6779168,-8.0046826E-4,-0.677907,0.7351199,-0.0063945367,-0.0037465238,0.005243511,0.9999792,-0.02394104,-0.01914978,9.98381,-0.042938232,0.05595398,9.806351,-0.0053100586,0.011703491,0.0021209717,-23.031616,20.66803,-18.269348,0
