time,ax,ay,az,imid,cf
4.725952149,9.519333,0.40701294,1.9488678,2.0,0
4.73034668,9.500183,0.46925354,1.953659,2.0,0
4.734771729,9.643829,0.7374115,2.0207062,2.0,0
4.73916626,9.562439,0.70388794,2.0015411,2.0,0
4.743591309,9.730026,0.79008484,2.0973206,2.0,0
4.74798584,9.643829,0.77571106,2.1212616,2.0,0
4.752380371,9.7444,0.9768219,2.13562,2.0,0
4.75680542,9.643829,1.1348419,2.1691437,2.0,0
4.761199951,9.500183,1.06781,2.269699,2.0,0
4.765625,9.552856,1.1013184,2.1595612,2.0,0
4.770019531,9.648621,1.0055542,2.221817,2.0,0
4.77444458,9.528915,0.9433136,2.202652,2.0,0
4.778839111,9.58638,0.7805023,2.3798218,2.0,0
4.78326416,9.538498,0.3878479,2.197876,2.0,0
4.787658692,9.60553,0.04788208,2.3223724,2.0,0
4.792053223,9.533707,0.04788208,2.2601166,2.0,0
4.796478272,9.58638,-0.14364624,2.1835022,2.0,0
4.800872803,9.562439,-0.21546936,1.7764893,2.0,0
4.805297852,9.696503,-0.07661438,1.7142334,2.0,0
4.809692383,9.500183,-0.14364624,1.6998749,2.0,0
4.814117432,9.62468,-0.16279602,1.6902924,2.0,0
4.818511963,9.706085,-0.1484375,1.7238159,2.0,0
4.822906494,9.533707,-0.23461914,1.8531036,2.0,0
4.827331543,9.572006,-0.08618164,1.9440765,2.0,0
4.831726074,9.591171,-0.13885498,1.9632416,2.0,0
4.836151123,9.667786,-0.11491394,1.9488678,2.0,0
4.840545654,9.615112,-0.1771698,2.0350647,2.0,0
4.844970703,9.648621,-0.10055542,2.1260376,2.0,0
4.849365235,9.629471,-0.10533142,1.9632416,2.0,0
4.853759766,9.500183,-0.10533142,1.953659,2.0,0
4.858184815,9.653412,-0.07182312,1.8961945,2.0,0
4.862579346,9.533707,-0.004776001,1.9153595,2.0,0
4.867004395,9.600739,-0.07661438,2.015915,2.0,0
4.871398926,9.634262,-0.05265808,2.0590057,2.0,0
4.875823975,9.634262,-0.23461914,2.039856,2.0,0
4.880218506,9.600739,-0.14364624,2.1308289,2.0,0
4.884643555,9.600739,-0.07182312,2.0254822,2.0,0
4.889038086,9.677353,-0.0909729,2.0015411,2.0,0
4.893432617,9.595947,-0.2681427,2.0685883,2.0,0
4.897857666,9.725235,-0.1484375,1.9584503,2.0,0
4.902252197,9.572006,-0.2394104,1.9680328,2.0,0
4.906677246,9.691727,-0.19631958,1.8243713,2.0,0
4.911071778,9.701294,-0.23461914,1.7094574,2.0,0
4.915496826,9.562439,-0.22984314,1.8052216,2.0,0
4.919891358,9.595947,-0.25378418,1.498764,2.0,0
4.924285889,9.610321,-0.20588684,1.7333984,2.0,0
4.928710938,9.643829,-0.24420166,1.6280518,2.0,0
4.933105469,9.514557,-0.15800476,1.7142334,2.0,0
4.937530518,9.58638,-0.16279602,1.8387451,2.0,0
4.941925049,9.634262,-0.1484375,1.9393005,2.0,0
4.946350098,9.749176,-0.16279602,1.6807251,2.0,0
4.950744629,9.60553,-0.19631958,1.7429657,2.0,0
4.955169678,9.40921,-0.3830719,1.632843,2.0,0
4.959564209,9.662994,0.04309082,1.8387451,2.0,0
4.96395874,9.476242,-0.0622406,1.8674622,2.0,0
4.968383789,9.62468,-0.25378418,2.0207062,2.0,0
4.97277832,9.639053,-0.14364624,2.0015411,2.0,0
4.977203369,9.543274,-0.009567261,1.6998749,2.0,0
4.981597901,9.552856,-0.17237854,1.7525482,2.0,0
4.986022949,9.519333,-0.1197052,1.8148041,2.0,0
4.990417481,9.662994,-0.16279602,2.0494232,2.0,0
4.994812012,9.720444,-0.028717041,1.8818359,2.0,0
4.999237061,9.653412,-0.20111084,1.9488678,2.0,0
5.003631592,9.528915,-0.24420166,1.7573395,2.0,0
5.008056641,9.648621,-0.15322876,1.4604492,2.0,0
5.012451172,9.701294,-0.0143585205,1.613678,2.0,0
5.016876221,9.634262,-0.12449646,1.8866272,2.0,0
5.021270752,9.60553,-0.3591156,1.637619,2.0,0
5.025665283,9.567215,-0.41178894,1.5466461,2.0,0
5.030090332,9.543274,-0.20111084,1.4700317,2.0,0
5.034484863,9.686935,0.13406372,1.5274963,2.0,0
5.038909912,9.806641,-0.009567261,1.364685,2.0,0
5.043304444,9.710876,-0.10055542,1.5418549,2.0,0
5.047729492,9.686935,-0.1484375,1.632843,2.0,0
5.052124024,9.619888,-0.28729248,1.7812805,2.0,0
5.056549072,9.653412,-0.25856018,1.7812805,2.0,0
5.060943604,9.639053,-0.19631958,1.7812805,2.0,0
5.065338135,9.591171,-0.12449646,1.7286072,2.0,0
5.069763184,9.557648,-0.22505188,1.8435211,2.0,0
5.074157715,9.677353,-0.24420166,2.063797,2.0,0
5.078582764,9.572006,-0.2681427,1.8339539,2.0,0
5.082977295,9.390045,-0.23461914,2.0350647,2.0,0
5.087402344,9.610321,-0.1771698,2.1308289,2.0,0
5.091796875,9.615112,-0.15322876,2.1643524,2.0,0
5.096191406,9.667786,-0.16758728,1.9919739,2.0,0
5.100616455,9.615112,-0.24899292,2.1882935,2.0,0
5.105010986,9.672562,-0.0622406,2.0925293,2.0,0
5.109436035,9.610321,-0.20588684,2.0829468,2.0,0
5.113830567,9.562439,-0.11491394,2.1020966,2.0,0
5.118255615,9.600739,-0.25856018,2.0542145,2.0,0
5.122650147,9.667786,-0.1484375,1.953659,2.0,0
5.127075195,9.572006,-0.18673706,2.0829468,2.0,0
5.131469727,9.634262,-0.19631958,2.039856,2.0,0
5.135864258,9.495392,-0.18673706,2.13562,2.0,0
5.140289307,9.5767975,-0.20111084,2.0350647,2.0,0
5.144683838,9.648621,-0.10533142,1.8866272,2.0,0
5.149108887,9.634262,-0.13406372,1.9153595,2.0,0
5.153503418,9.691727,-0.1819458,1.6807251,2.0,0
5.157928467,9.706085,-0.15800476,1.6041107,2.0,0
5.162322998,9.696503,-0.06703186,1.6759338,2.0,0
5.166717529,9.677353,-0.2106781,1.6519928,2.0,0
5.171142578,9.581589,-0.05744934,1.5514374,2.0,0
5.17553711,9.5767975,-0.12449646,1.5035553,2.0,0
5.179962158,9.648621,-0.14364624,1.5083466,2.0,0
5.18435669,9.610321,-0.15322876,1.7046661,2.0,0
5.188781738,9.686935,-0.11491394,1.7142334,2.0,0
5.19317627,9.62468,-0.06703186,1.6807251,2.0,0
5.197570801,9.572006,-0.11491394,1.6998749,2.0,0
5.20199585,9.653412,-0.22984314,1.6663513,2.0,0
5.206390381,9.653412,-0.12927246,1.5945282,2.0,0
5.21081543,9.691727,-0.18673706,1.5993195,2.0,0
5.215209961,9.792282,-0.13885498,1.6041107,2.0,0
5.21963501,9.653412,-0.17237854,1.5370636,2.0,0
5.224029541,9.629471,-0.11012268,1.656784,2.0,0
5.22845459,9.610321,-0.05265808,1.771698,2.0,0
5.232849121,9.581589,-0.1197052,1.608902,2.0,0
5.237243653,9.610321,-0.15800476,1.5705872,2.0,0
5.241668701,9.533707,-0.17237854,1.9105682,2.0,0
5.246063233,9.548065,-0.16758728,1.8866272,2.0,0
5.250488281,9.682144,-0.1771698,1.8914185,2.0,0
5.254882813,9.686935,-0.22984314,2.0111237,2.0,0
5.259307861,9.648621,-0.0909729,1.9919739,2.0,0
5.263702393,9.619888,-0.23461914,1.929718,2.0,0
5.268096924,9.629471,-0.27772522,1.9919739,2.0,0
5.272521973,9.715668,-0.23461914,1.7190247,2.0,0
5.276916504,9.591171,-0.16279602,1.7573395,2.0,0
5.281341553,9.533707,-0.20588684,1.5514374,2.0,0
5.285736084,9.581589,-0.13885498,1.5849609,2.0,0
5.290161133,9.528915,-0.17237854,1.7381897,2.0,0
5.294555664,9.686935,-0.25378418,1.656784,2.0,0
5.298980713,9.715668,-0.29208374,1.5801697,2.0,0
5.303375244,9.60553,-0.16279602,1.613678,2.0,0
5.307769776,9.619888,-0.28729248,1.8004303,2.0,0
5.312194824,9.58638,-0.21546936,1.6280518,2.0,0
5.316589356,9.610321,-0.22026062,1.7860718,2.0,0
5.321014404,9.667786,-0.13406372,1.8100128,2.0,0
5.325408936,9.5767975,-0.30645752,1.905777,2.0,0
5.329833985,9.639053,-0.30166626,1.9584503,2.0,0
5.334228516,9.595947,-0.21546936,1.9823914,2.0,0
5.338623047,9.60553,-0.18673706,2.1595612,2.0,0
5.343048096,9.62468,-0.12449646,2.0542145,2.0,0
5.347442627,9.691727,-0.24420166,2.1068878,2.0,0
5.351867676,9.629471,-0.25378418,1.9967499,2.0,0
5.356262207,9.691727,-0.15322876,2.173935,2.0,0
5.360687256,9.572006,-0.12449646,2.0111237,2.0,0
5.365081787,9.7348175,-0.21546936,2.0494232,2.0,0
5.369476319,9.567215,-0.12449646,2.1212616,2.0,0
5.373901367,9.567215,-0.16758728,1.9680328,2.0,0
5.378295899,9.682144,-0.10533142,1.9967499,2.0,0
5.382720947,9.739609,-0.11491394,1.9584503,2.0,0
5.387115479,9.662994,-0.13406372,1.905777,2.0,0
5.391540528,9.557648,-0.27293396,2.0302734,2.0,0
5.395935059,9.533707,-0.10533142,1.8770447,2.0,0
5.400360108,9.643829,-0.19631958,1.9584503,2.0,0
5.404754639,9.634262,-0.10533142,1.8195801,2.0,0
5.40914917,9.552856,-0.19631958,1.7429657,2.0,0
5.413574219,9.62468,-0.18673706,1.8531036,2.0,0
5.41796875,9.710876,-0.17237854,1.8291626,2.0,0
5.422393799,9.58638,-0.21546936,1.9009857,2.0,0
5.42678833,9.543274,-0.13885498,1.8387451,2.0,0
5.431213379,9.562439,-0.1771698,1.7812805,2.0,0
5.43560791,9.643829,-0.1197052,1.9153595,2.0,0
5.440002442,9.653412,-0.16279602,1.795639,2.0,0
5.44442749,9.658203,-0.08139038,1.929718,2.0,0
5.448822022,9.706085,-0.26335144,1.7908478,2.0,0
5.45324707,9.548065,-0.16758728,1.9488678,2.0,0
5.457641602,9.62468,-0.18673706,1.8961945,2.0,0
5.462066651,9.610321,-0.20111084,2.0350647,2.0,0
