Serial,Time,Imid,ax,ay,az,vx,vy,vz,dx,dy,dz
195,0.8618469,0,-0.71504295,-1.0004976,1.2648182,0.0,0.0,0.0,0.0,0.0,1.5955421
196,0.86624146,0,-0.61470765,-0.6572739,1.1374731,0.0,0.0,0.0,0.0,0.0,1.5955421
197,0.870636,0,-0.659056,-0.7397846,1.1907177,0.0,0.0,0.0,0.0,0.0,1.5955421
198,0.8750305,0,-0.6358388,-0.9471905,1.1883154,0.0,0.0,0.0,0.0,0.0,1.5955421
199,0.87942505,0,-0.6465289,-0.94360244,1.2014208,0.0,0.0,0.0,0.0,0.0,1.5955421
200,0.8838196,0,-0.7614556,-0.8222325,1.3045702,0.0,0.0,0.0,0.0,0.0,1.5955421
201,0.8882141,0,-0.74187887,-0.85240924,1.2888451,0.0,0.0,0.0,0.0,0.0,1.5955421
202,0.89263916,0,-0.7428627,-0.81666124,1.2877197,0.0,0.0,0.0,0.0,0.0,1.5955421
203,0.8970337,0,-0.72003627,-0.8953572,1.2727365,0.0,0.0,0.0,0.0,0.0,1.5955421
204,0.9014282,0,-0.8488553,-0.7733276,1.3907595,0.0,0.0,0.0,0.0,0.0,1.5955421
205,0.90582275,0,-0.7666141,-0.7874904,1.3113251,0.0,0.0,0.0,0.0,0.0,1.5955421
206,0.9102173,0,-0.80848247,-0.77797675,1.3517227,0.0,0.0,0.0,0.0,0.0,1.5955421
207,0.9146118,0,-0.8659122,-0.7500375,1.4055662,0.0,0.0,0.0,0.0,0.0,1.5955421
208,0.91900635,0,-0.7671909,-0.73989457,1.3079004,0.0,0.0,0.0,0.0,0.0,1.5955421
209,0.92181396,0,-0.6657967,-0.5985309,1.1956491,0.0,0.0,0.0,0.0,0.0,1.5955421
210,0.92459106,0,-0.66598123,-0.6001505,1.1953259,0.0,0.0,0.0,0.0,0.0,1.5955421
211,0.92819214,0,-0.66617644,-0.6020739,1.194973,0.0,0.0,0.0,0.0,0.0,1.5955421
212,0.93307495,0,-0.71413344,-0.72075105,1.2522411,0.0,0.0,0.0,0.0,0.0,1.5955421
213,0.93795776,0,-0.73554343,-0.742676,1.2771463,0.0,0.0,0.0,0.0,0.0,1.5955421
214,0.9428711,0,-0.8377833,-0.7174653,1.3743324,0.0,0.0,0.0,0.0,0.0,1.5955421
215,0.9477539,0,-0.8377627,-0.7181834,1.3739634,0.0,0.0,0.0,0.0,0.0,1.5955421
216,0.9526367,0,-0.8266392,-0.5943272,1.3557682,0.0,0.0,0.0,0.0,0.0,1.5955421
217,0.95751953,0,-0.9011986,-0.56038654,1.4276533,0.0,0.0,0.0,0.0,0.0,1.5955421
218,0.96240234,0,-0.8048123,-0.56595504,1.3347139,0.0,0.0,0.0,0.0,0.0,1.5955421
219,0.96728516,0,-0.8068975,-0.5515551,1.3394575,0.0,0.0,0.0,0.0,0.0,1.5955421
220,0.97216797,0,-0.84522057,-0.48152962,1.3725071,0.0,0.0,0.0,0.0,0.0,1.5955421
